         t              x              v
  5.320000       0.009276      -0.425409
  5.330000       0.005013      -0.426922
  5.340000       0.000741      -0.427368
  5.350000      -0.003531      -0.426746
  5.360000      -0.007790      -0.425058
  5.370000      -0.012028      -0.422311
  5.380000      -0.016233      -0.418512
  5.390000      -0.020395      -0.413673
  5.400000      -0.024503      -0.407806
  5.410000      -0.028548      -0.400928
  5.420000      -0.032518      -0.393056
  5.430000      -0.036406      -0.384212
  5.440000      -0.040200      -0.374419
  5.450000      -0.043891      -0.363701
  5.460000      -0.047471      -0.352086
  5.470000      -0.050930      -0.339604
  5.480000      -0.054260      -0.326286
  5.490000      -0.057453      -0.312166
  5.500000      -0.060501      -0.297279
  5.510000      -0.063396      -0.281663
  5.520000      -0.066132      -0.265357
  5.530000      -0.068701      -0.248400
  5.540000      -0.071098      -0.230835
  5.550000      -0.073316      -0.212706
  5.560000      -0.075350      -0.194057
  5.570000      -0.077195      -0.174934
  5.580000      -0.078847      -0.155383
  5.590000      -0.080302      -0.135454
  5.600000      -0.081555      -0.115194
  5.610000      -0.082605      -0.094653
  5.620000      -0.083447      -0.073881
  5.630000      -0.084082      -0.052930
  5.640000      -0.084506      -0.031849
  5.650000      -0.084718      -0.010691
  5.660000      -0.084719       0.010493
  5.670000      -0.084509       0.031650
  5.680000      -0.084087       0.052726
  5.690000      -0.083455       0.073667
  5.700000      -0.082614       0.094419
  5.710000      -0.081567       0.114930
  5.720000      -0.080316       0.135146
  5.730000      -0.078865       0.155016
  5.740000      -0.077217       0.174490
  5.750000      -0.075377       0.193517
  5.760000      -0.073349       0.212050
  5.770000      -0.071138       0.230041
  5.780000      -0.068750       0.247445
  5.790000      -0.066191       0.264218
  5.800000      -0.063468       0.280317
  5.810000      -0.060587       0.295703
  5.820000      -0.057556       0.310336
  5.830000      -0.054383       0.324180
  5.840000      -0.051075       0.337201
  5.850000      -0.047642       0.349366
  5.860000      -0.044091       0.360646
  5.870000      -0.040432       0.371012
  5.880000      -0.036674       0.380441
  5.890000      -0.032826       0.388908
  5.900000      -0.028899       0.396394
  5.910000      -0.024902       0.402880
  5.920000      -0.020845       0.408353
  5.930000      -0.016738       0.412799
  5.940000      -0.012592       0.416208
  5.950000      -0.008417       0.418573
  5.960000      -0.004224       0.419890
  5.970000      -0.000023       0.420156
  5.980000       0.004175       0.419372
  5.990000       0.008361       0.417542
  6.000000       0.012523       0.414671
  6.010000       0.016651       0.410768
  6.020000       0.020735       0.405844
  6.030000       0.024764       0.399912
  6.040000       0.028730       0.392988
  6.050000       0.032621       0.385090
  6.060000       0.036428       0.376239
  6.070000       0.040143       0.366459
  6.080000       0.043755       0.355774
  6.090000       0.047255       0.344212
  6.100000       0.050636       0.331801
  6.110000       0.053888       0.318574
  6.120000       0.057005       0.304564
  6.130000       0.059977       0.289805
  6.140000       0.062799       0.274336
  6.150000       0.065462       0.258193
  6.160000       0.067960       0.241419
  6.170000       0.070288       0.224053
  6.180000       0.072440       0.206138
  6.190000       0.074409       0.187720
  6.200000       0.076192       0.168843
  6.210000       0.077785       0.149554
  6.220000       0.079182       0.129900
  6.230000       0.080382       0.109929
  6.240000       0.081380       0.089689
  6.250000       0.082175       0.069231
  6.260000       0.082764       0.048604
  6.270000       0.083146       0.027859
  6.280000       0.083321       0.007045
  6.290000       0.083287      -0.013785
  6.300000       0.083045      -0.034580
  6.310000       0.082596      -0.055286
  6.320000       0.081940      -0.075851
  6.330000       0.081080      -0.096222
  6.340000       0.080017      -0.116346
  6.350000       0.078754      -0.136172
  6.360000       0.077294      -0.155650
  6.370000       0.075642      -0.174730
  6.380000       0.073801      -0.193364
  6.390000       0.071776      -0.211503
  6.400000       0.069573      -0.229103
  6.410000       0.067196      -0.246117
  6.420000       0.064653      -0.262505
  6.430000       0.061948      -0.278224
  6.440000       0.059090      -0.293234
  6.450000       0.056086      -0.307499
  6.460000       0.052943      -0.320982
  6.470000       0.049669      -0.333650
